Year,Title,Authors,Link
2025,Limits to scalable evaluation at the frontier: LLM as judge won't beat twice the data.,"Florian E. Dorner, Vivian Yvonne Nastl, Moritz Hardt",https://openreview.net/forum?id=NO6Tv6QcDs
2025,DEPT: Decoupled Embeddings for Pre-training Language Models.,"Alex Iacob, Lorenzo Sani, Meghdad Kurmanji, William F. Shen, Xinchi Qiu, Dongqi Cai, Yan Gao, Nicholas Donald Lane",https://openreview.net/forum?id=vf5aUZT0Fz
2025,Homomorphism Expressivity of Spectral Invariant Graph Neural Networks.,"Jingchu Gai, Yiheng Du, Bohang Zhang, Haggai Maron, Liwei Wang",https://openreview.net/forum?id=rdv6yeMFpn
2025,RB-Modulation: Training-Free Stylization using Reference-Based Modulation.,"Litu Rout, Yujia Chen, Nataniel Ruiz, Abhishek Kumar, Constantine Caramanis, Sanjay Shakkottai, Wen-Sheng Chu",https://openreview.net/forum?id=bnINPG5A32
2025,Kinetix: Investigating the Training of General Agents through Open-Ended Physics-Based Control Tasks.,"Michael T. Matthews, Michael Beukman, Chris Lu, Jakob Nicolaus Foerster",https://openreview.net/forum?id=zCxGCdzreM
2025,OptionZero: Planning with Learned Options.,"Po-Wei Huang, Pei-Chiun Peng, Hung Guei, Ti-Rong Wu",https://openreview.net/forum?id=3IFRygQKGL
2025,Instant Policy: In-Context Imitation Learning via Graph Diffusion.,"Vitalis Vosylius, Edward Johns",https://openreview.net/forum?id=je3GZissZc
2025,What should a neuron aim for? Designing local objective functions based on information theory.,"Andreas Christian Schneider, Valentin Neuhaus, David Alexander Ehrlich, Abdullah Makkeh, Alexander S. Ecker, Viola Priesemann, Michael Wibral",https://openreview.net/forum?id=CLE09ESvul
2025,Cross-Entropy Is All You Need To Invert the Data Generating Process.,"Patrik Reizinger, Alice Bizeul, Attila Juhos, Julia E. Vogt, Randall Balestriero, Wieland Brendel, David A. Klindt",https://openreview.net/forum?id=hrqNOxpItr
2025,Unlocking State-Tracking in Linear RNNs Through Negative Eigenvalues.,"Riccardo Grazzi, Julien Siems, Arber Zela, Jörg K. H. Franke, Frank Hutter, Massimiliano Pontil",https://openreview.net/forum?id=UvTo3tVBk2
2025,Attention as a Hypernetwork.,"Simon Schug, Seijin Kobayashi, Yassir Akram, João Sacramento, Razvan Pascanu",https://openreview.net/forum?id=V4K9h1qNxE
2025,Transformers Provably Solve Parity Efficiently with Chain of Thought.,"Juno Kim, Taiji Suzuki",https://openreview.net/forum?id=n2NidsYDop
2025,Oscillatory State-Space Models.,"T. Konstantin Rusch, Daniela Rus",https://openreview.net/forum?id=GRMfXcAAFh
2025,Latent Bayesian Optimization via Autoregressive Normalizing Flows.,"Seunghun Lee, Jinyoung Park, Jaewon Chu, Minseo Yoon, Hyunwoo J. Kim",https://openreview.net/forum?id=ZCOwwRAaEl
2025,Energy-based Backdoor Defense Against Federated Graph Learning.,"Guancheng Wan, Zitong Shi, Wenke Huang, Guibin Zhang, Dacheng Tao, Mang Ye",https://openreview.net/forum?id=5Jc7r5aqHJ
2025,Reasoning Elicitation in Language Models via Counterfactual Feedback.,"Alihan Hüyük, Xinnuo Xu, Jacqueline R. M. A. Maasch, Aditya V. Nori, Javier González",https://openreview.net/forum?id=VVixJ9QavY
2025,CAX: Cellular Automata Accelerated in JAX.,"Maxence Faldor, Antoine Cully",https://openreview.net/forum?id=o2Igqm95SJ
2025,Proteina: Scaling Flow-based Protein Structure Generative Models.,"Tomas Geffner, Kieran Didi, Zuobai Zhang, Danny Reidenbach, Zhonglin Cao, Jason Yim, Mario Geiger, Christian Dallago, Emine Küçükbenli, Arash Vahdat, Karsten Kreis",https://openreview.net/forum?id=TVQLu34bdw
2025,Residual Deep Gaussian Processes on Manifolds.,"Kacper Wyrwal, Andreas Krause, Viacheslav Borovitskiy",https://openreview.net/forum?id=JWtrk7mprJ
2025,Learning to Discretize Denoising Diffusion ODEs.,"Vinh Tong, Dung-Trung Hoang, Anji Liu, Guy Van den Broeck, Mathias Niepert",https://openreview.net/forum?id=xDrFWUmCne
2025,Toward Guidance-Free AR Visual Generation via Condition Contrastive Alignment.,"Huayu Chen, Hang Su, Peize Sun, Jun Zhu",https://openreview.net/forum?id=kGvXIlIVLM
2025,TimeMixer++: A General Time Series Pattern Machine for Universal Predictive Analysis.,"Shiyu Wang, Jiawei Li, Xiaoming Shi, Zhou Ye, Baichuan Mo, Wenze Lin, Shengtong Ju, Zhixuan Chu, Ming Jin",https://openreview.net/forum?id=1CLzLXSFNn
2025,RMP-SAM: Towards Real-Time Multi-Purpose Segment Anything.,"Shilin Xu, Haobo Yuan, Qingyu Shi, Lu Qi, Jingbo Wang, Yibo Yang, Yining Li, Kai Chen, Yunhai Tong, Bernard Ghanem, Xiangtai Li, Ming-Hsuan Yang",https://openreview.net/forum?id=1pXzC30ry5
2025,Steering Protein Family Design through Profile Bayesian Flow.,"Jingjing Gong, Yu Pei, Siyu Long, Yuxuan Song, Zhe Zhang, Wenhao Huang, Ziyao Cao, Shuyi Zhang, Hao Zhou, Wei-Ying Ma",https://openreview.net/forum?id=PSiijdQjNU
2025,GeSubNet: Gene Interaction Inference for Disease Subtype Network Generation.,"Ziwei Yang, Zheng Chen, Xin Liu, Rikuto Kotoge, Peng Chen, Yasuko Matsubara, Yasushi Sakurai, Jimeng Sun",https://openreview.net/forum?id=ja4rpheN2n
2025,Exploring The Loss Landscape Of Regularized Neural Networks Via Convex Duality.,"Sungyoon Kim, Aaron Mishkin, Mert Pilanci",https://openreview.net/forum?id=4xWQS2z77v
2025,Global Convergence in Neural ODEs: Impact of Activation Functions.,"Tianxiang Gao, Siyuan Sun, Hailiang Liu, Hongyang Gao",https://openreview.net/forum?id=AoraWUmpLU
2025,MoDeGPT: Modular Decomposition for Large Language Model Compression.,"Chi-Heng Lin, Shangqian Gao, James Seale Smith, Abhishek Patel, Shikhar Tuli, Yilin Shen, Hongxia Jin, Yen-Chang Hsu",https://openreview.net/forum?id=8EfxjTCg2k
2025,MIND over Body: Adaptive Thinking using Dynamic Computation.,"Mrinal Mathur, Barak A. Pearlmutter, Sergey M. Plis",https://openreview.net/forum?id=EjJGND0m1x
2025,From Exploration to Mastery: Enabling LLMs to Master Tools via Self-Driven Interactions.,"Changle Qu, Sunhao Dai, Xiaochi Wei, Hengyi Cai, Shuaiqiang Wang, Dawei Yin, Jun Xu, Ji-Rong Wen",https://openreview.net/forum?id=QKBu1BOAwd
2025,LoRA Done RITE: Robust Invariant Transformation Equilibration for LoRA Optimization.,"Jui-Nan Yen, Si Si, Zhao Meng, Felix X. Yu, Sai Surya Duvvuri, Inderjit S. Dhillon, Cho-Jui Hsieh, Sanjiv Kumar",https://openreview.net/forum?id=VpWki1v2P8
2025,Scaling and evaluating sparse autoencoders.,"Leo Gao, Tom Dupré la Tour, Henk Tillman, Gabriel Goh, Rajan Troll, Alec Radford, Ilya Sutskever, Jan Leike, Jeffrey Wu",https://openreview.net/forum?id=tcsZt9ZNKD
2025,ReGenesis: LLMs can Grow into Reasoning Generalists via Self-Improvement.,"Xiangyu Peng, Congying Xia, Xinyi Yang, Caiming Xiong, Chien-Sheng Wu, Chen Xing",https://openreview.net/forum?id=YUYJsHOf3c
2025,Feedback Favors the Generalization of Neural ODEs.,"Jindou Jia, Zihan Yang, Meng Wang, Kexin Guo, Jianfei Yang, Xiang Yu, Lei Guo",https://openreview.net/forum?id=cmfyMV45XO
2025,Do LLMs Recognize Your Preferences? Evaluating Personalized Preference Following in LLMs.,"Siyan Zhao, Mingyi Hong, Yang Liu, Devamanyu Hazarika, Kaixiang Lin",https://openreview.net/forum?id=QWunLKbBGF
2025,STAR: Synthesis of Tailored Architectures.,"Armin W. Thomas, Rom N. Parnichkun, Alexander Amini, Stefano Massaroli, Michael Poli",https://openreview.net/forum?id=HsHxSN23rM
2025,Do I Know This Entity? Knowledge Awareness and Hallucinations in Language Models.,"Javier Ferrando, Oscar Balcells Obeso, Senthooran Rajamanoharan, Neel Nanda",https://openreview.net/forum?id=WCRQFlji2q
2025,Geometry of Neural Reinforcement Learning in Continuous State and Action Spaces.,"Saket Tiwari, Omer Gottesman, George Konidaris",https://openreview.net/forum?id=AP0ndQloqR
2025,When is Task Vector Provably Effective for Model Editing? A Generalization Analysis of Nonlinear Transformers.,"Hongkang Li, Yihua Zhang, Shuai Zhang, Pin-Yu Chen, Sijia Liu, Meng Wang",https://openreview.net/forum?id=vRvVVb0NAz
2025,Learning and aligning single-neuron invariance manifolds in visual cortex.,"Mohammad Bashiri, Luca Baroni, Ján Antolík, Fabian H. Sinz",https://openreview.net/forum?id=kbjJ9ZOakb
2025,Feedback Schrödinger Bridge Matching.,"Panagiotis Theodoropoulos, Nikolaos Komianos, Vincent Pacelli, Guan-Horng Liu, Evangelos A. Theodorou",https://openreview.net/forum?id=k3tbMMW8rH
2025,TetSphere Splatting: Representing High-Quality Geometry with Lagrangian Volumetric Meshes.,"Minghao Guo, Bohan Wang, Kaiming He, Wojciech Matusik",https://openreview.net/forum?id=8enWnd6Gp3
2025,Navigating the Digital World as Humans Do: Universal Visual Grounding for GUI Agents.,"Boyu Gou, Ruohan Wang, Boyuan Zheng, Yanan Xie, Cheng Chang, Yiheng Shu, Huan Sun, Yu Su",https://openreview.net/forum?id=kxnoqaisCT
2025,Progressive distillation induces an implicit curriculum.,"Abhishek Panigrahi, Bingbin Liu, Sadhika Malladi, Andrej Risteski, Surbhi Goel",https://openreview.net/forum?id=wPMRwmytZe
2025,Rethinking Reward Modeling in Preference-based Large Language Model Alignment.,"Hao Sun, Yunyi Shen, Jean-Francois Ton",https://openreview.net/forum?id=rfdblE10qm
2025,Copyright-Protected Language Generation via Adaptive Model Fusion.,"Javier Abad, Konstantin Donhauser, Francesco Pinto, Fanny Yang",https://openreview.net/forum?id=kRoWeLTpL4
2025,Ctrl-Adapter: An Efficient and Versatile Framework for Adapting Diverse Controls to Any Diffusion Model.,"Han Lin, Jaemin Cho, Abhay Zala, Mohit Bansal",https://openreview.net/forum?id=ny8T8OuNHe
2025,BIRD: A Trustworthy Bayesian Inference Framework for Large Language Models.,"Yu Feng, Ben Zhou, Weidong Lin, Dan Roth",https://openreview.net/forum?id=fAAaT826Vv
2025,LaMPlace: Learning to Optimize Cross-Stage Metrics in Macro Placement.,"Zijie Geng, Jie Wang, Ziyan Liu, Siyuan Xu, Zhentao Tang, Shixiong Kai, Mingxuan Yuan, Jianye Hao, Feng Wu",https://openreview.net/forum?id=YLIsIzC74j
2025,miniCTX: Neural Theorem Proving with (Long-)Contexts.,"Jiewen Hu, Thomas Zhu, Sean Welleck",https://openreview.net/forum?id=KIgaAqEFHW
2025,BigCodeBench: Benchmarking Code Generation with Diverse Function Calls and Complex Instructions.,"Terry Yue Zhuo, Minh Chien Vu, Jenny Chim, Han Hu, Wenhao Yu, Ratnadira Widyasari, Imam Nur Bani Yusuf, Haolan Zhan, Junda He, Indraneil Paul, Simon Brunner, Chen Gong, James Hoang, Armel Randy Zebaze, Xiaoheng Hong, Wen-Ding Li, Jean Kaddour, Ming Xu, Zhihan Zhang, Prateek Yadav, et al.",https://openreview.net/forum?id=YrycTjllL0
2025,Towards a Complete Logical Framework for GNN Expressiveness.,Tuo Xu,https://openreview.net/forum?id=pqOjj90Vwp
2025,Representation Alignment for Generation: Training Diffusion Transformers Is Easier Than You Think.,"Sihyun Yu, Sangkyung Kwak, Huiwon Jang, Jongheon Jeong, Jonathan Huang, Jinwoo Shin, Saining Xie",https://openreview.net/forum?id=DJSZGGZYVi
2025,Classic but Everlasting: Traditional Gradient-Based Algorithms Converge Fast Even in Time-Varying Multi-Player Games.,"Yanzheng Chen, Jun Yu",https://openreview.net/forum?id=t8FG4cJuL3
2025,DSPO: Direct Score Preference Optimization for Diffusion Model Alignment.,"Huaisheng Zhu, Teng Xiao, Vasant G. Honavar",https://openreview.net/forum?id=xyfb9HHvMe
2025,TANGO: Co-Speech Gesture Video Reenactment with Hierarchical Audio Motion Embedding and Diffusion Interpolation.,"Haiyang Liu, Xingchao Yang, Tomoya Akiyama, Yuantian Huang, Qiaoge Li, Shigeru Kuriyama, Takafumi Taketomi",https://openreview.net/forum?id=LbEWwJOufy
2025,Predictive Inverse Dynamics Models are Scalable Learners for Robotic Manipulation.,"Yang Tian, Sizhe Yang, Jia Zeng, Ping Wang, Dahua Lin, Hao Dong, Jiangmiao Pang",https://openreview.net/forum?id=meRCKuUpmc
